Улица Мелании Мусиенко
Улица Менделеева
Улица Металлургов
Улица Минина
Улица Мира
Улица Мирошника
Улица Мичурина
Улица Модина
Улица Назаренко
Улица Науменко
Улица Некрасова
Улица Нестерова
Улица Николая Толпина
Улица Новая Дача
Улица Новоселов
Улица Октябрьской Революции
Улица Олега Кошевого
Улица Орджоникидзе
Улица Островского
Улица Отдельной Приморской Армии
Улица Павла Бутова
Улица Павлика Морозова
Улица Палласа
Улица Панкратова
Улица Пантикапея
Улица Парахина
Улица Пархоменко
Улица Патиниоти
Улица Патриса Лумумбы
Улица Пахомова
Улица Первых Космонавтов
Улица Петра Алексеева
Улица Петра Дейкало
Улица Петра Королёва
Улица Петровского
Улица Петрухина
Улица Печениной
Улица Пирогова
Улица Плеханова
Улица Победы
Улица Подполковника Рудя
Улица Пожарского
Улица Полины Осипенко
Улица Попова
Улица Пошивальникова
Улица Правды
Улица Пржевальского
Улица Привокзальная площадь
Улица Провалова
Улица Прокопьевой
Улица Пугачева
Улица Пушкаренко
Улица Пушкина
Улица Пятилетки 1-й
Улица Пятилетки 2-й
Улица Радио
Улица Радищева
Улица Революции
Улица Репина
Улица Розы Люксембург
Улица Рудказарма
Улица Рудневой
Улица Рудь
Улица Рыбака Москаленко
Улица Рыбаков
Улица Рыбакова
Улица Рязанова
Улица Рязановой
Улица Садовая дорога
Улица Сакко
Улица Самойленко
Улица Самострой 2-й
Улица Самострой 3-й
Улица Самострой 5-й
Улица Сараймин
Улица Сахарова Андрея
Улица Свердлова
Улица Седова
Улица Семьи Данченко
Улица Сергея Борзенко
Улица Сергея Лазо
Улица Серова
Улица Сигнальщиков
Улица Сипягина
Улица Скала
Улица Скасси
Улица Славы
Улица Сморжевского
Улица Собина
Улица Софьи Перовской
Улица Спартака
Улица Средняя дорога
Улица Станция Керчь 2
Улица Старая Дача
Улица Старостина
Улица Степана Разина
Улица Стратейчука
Улица Строителей
Улица Суворова
Улица Сурикова
Улица Танкистов
Улица Тарасенко
Улица Телецентр
Улица Тельмана
Улица Тимирязева
Улица Тиритакский Вал
Улица Толбухина
Улица Третья Сотня
Улица Трофимова
Улица Тургенева
Улица Турчинского
Улица Узунлар
Улица Ульяновых
Улица Ульяны Громовой
Улица Урицкого
Улица Ушакова
Улица Ушинского
Улица Федяева
Улица Фролова
Улица Фрунзе
Улица Фурманова
Улица Художника Бута
Улица Цементная Слободка
Улица Цибизова
Улица Циолковского
Улица Цымбал
Улица Чапаева
Улица Чебаненко
Улица Челова
Улица Челядинова
Улица Чернышевского
Улица Черняховского
Улица Чехова
Улица Чкалова
Улица Шевченко
Улица Шевякова
Улица Шмидта
Улица Шумилова
Улица Шумского
Улица Щорса
Улица Энгельса
Улица Энергетиков
Улица Энергогородок
Улица Эски Крым
Улица Юности
Улица Юных Ленинцев
Улица Юрия Гагарина
Улица Ягунова
Улица Ярошенко
Урожайный переулок
Ученическая улица
Фабричная улица
Фабричный переулок
Феодоссийское шоссе
Фестивальная улица
Флотский переулок
Фонтанная улица
Фруктовый переулок
Харьковский переулок
Херсонская улица
Хлопковый переулок
Холмистая улица
Холмогорская улица
Цветочный переулок
Целимберная улица
Центральная улица
Черноморская улица
Чкаловский 1-й переулок
Чкаловский 2-й переулок
Шахматная улица
Широкая улица
Школьная улица
Школьный переулок
Шлагбаумская улица
Шоссе Героев Сталинграда
Шоссе Героев Эльтигена
Шоссейный переулок
Штурманская улица
Эксплонадная 1-я улица
Эксплонадная 2-я улица
Эксплонадная улица
Эксплонадный переулок
Элеваторная улица
Южная улица
Юзобинская улица
Якорная улица
